time,ETHUSDT,BTCUSDT,SOMIUSDT,SOLUSDT,DOGEUSDT,BNBUSDT,XRPUSDT,AVNTUSDT,PUMPUSDT,SUIUSDT,AVAXUSDT,WLFIUSDT,PEPEUSDT,TSTUSDT,TRXUSDT,ENAUSDT,WLDUSDT,ZKCUSDT,ADAUSDT,LINEAUSDT,LINKUSDT,PENGUUSDT,LTCUSDT,MITOUSDT,OPENUSDT,AAVEUSDT,WIFUSDT,ARBUSDT,MUBARAKUSDT,UNIUSDT,BONKUSDT,DOTUSDT,RAREUSDT,NEARUSDT,SEIUSDT,XLMUSDT,FILUSDT,IMXUSDT,PROMUSDT,OGUSDT,PAXGUSDT,HOLOUSDT,ETHFIUSDT,HBARUSDT,HIFIUSDT,CRVUSDT,ONDOUSDT,EIGENUSDT,FORMUSDT,CAKEUSDT
2025-09-16 01:10 CT,0.001161,0.005407,0.014650,0.005434,0.005038,0.012384,0.005155,0.054174,0.011040,0.004583,0.010855,0.009950,0.001855,-0.009458,0.003471,0.014769,0.007333,-0.011606,0.004063,-0.014241,0.004687,0.011412,0.013207,0.066135,0.013366,-0.003368,0.009040,0.006316,0.008572,-0.000873,-0.002994,0.012524,0.009311,0.012653,0.006977,0.005819,0.005824,0.059816,0.042639,0.015891,0.001008,-0.007370,0.015950,0.002129,0.004405,-0.001082,0.011254,0.012362,0.009039,0.007353
2025-09-16 01:15 CT,0.000091,0.004547,0.024303,0.003863,0.004292,0.011515,0.003113,0.062996,0.010320,0.002107,0.009159,0.014925,0.000000,-0.009822,0.002893,0.010037,0.007333,-0.009915,0.002786,-0.010420,0.002130,0.007567,0.012321,0.061355,0.018828,-0.004344,0.005650,0.005297,0.005935,-0.001746,-0.005133,0.011079,0.009311,0.013420,0.006343,0.003967,0.004160,0.061350,0.040942,0.016317,0.001506,-0.007370,0.014563,0.001022,0.008181,-0.003382,0.008611,0.008458,0.009648,0.007761
2025-09-16 01:20 CT,-0.000863,0.004302,0.019561,0.002038,0.001344,0.011450,0.002343,0.058808,0.002160,0.000883,0.009498,0.010403,-0.000928,-0.009458,0.002025,0.006166,0.004667,-0.010704,0.001625,-0.013894,0.000852,0.007659,0.012232,0.062151,0.013366,-0.005894,0.004520,0.003464,0.004286,-0.003600,-0.009837,0.009634,0.007449,0.011120,0.004440,0.003703,0.002912,0.064417,0.041578,0.016388,0.001460,-0.007878,0.009709,0.000809,0.005664,-0.006087,0.007535,0.005856,0.009929,0.005719
2025-09-16 01:25 CT,-0.003038,0.002975,0.017868,0.001401,-0.003434,0.010646,0.001172,0.034037,0.003240,0.000000,0.005088,0.006332,-0.003711,-0.012732,0.000868,0.006596,0.002000,-0.015437,0.000116,-0.018062,-0.000426,0.006255,0.010282,0.068526,0.008949,-0.007443,0.001130,0.001222,0.002638,-0.005673,-0.011976,0.007707,0.005587,0.009202,0.000634,0.001851,0.000416,0.059816,0.040412,0.013763,0.001322,-0.013469,0.010402,-0.001277,-0.008181,-0.008522,0.005871,0.003904,0.009367,0.003268
2025-09-16 01:30 CT,-0.006853,0.002219,0.007198,-0.002547,-0.009554,0.008006,-0.001473,0.016751,-0.004080,-0.002363,0.000678,0.002261,-0.009276,-0.014187,0.000000,0.004015,0.000000,-0.028282,-0.001509,-0.032998,-0.004687,0.002716,0.008332,0.059761,-0.001395,-0.008891,-0.002260,-0.002649,-0.001649,-0.007855,-0.015398,0.005299,0.003724,0.005752,-0.002537,-0.000529,-0.001248,0.046012,0.039669,0.009222,0.001420,-0.018043,0.002774,-0.004939,0.002517,-0.012579,0.003131,-0.001952,0.005386,0.001225
2025-09-16 01:35 CT,-0.007155,0.002668,-0.004234,-0.002802,-0.008360,0.007930,-0.002343,0.024236,-0.007800,-0.002448,0.000000,0.000452,-0.009276,-0.017097,-0.001446,0.000143,-0.000667,-0.029070,-0.002090,-0.031608,-0.005539,0.000214,0.007623,0.058964,-0.001278,-0.009261,-0.003390,-0.002852,-0.003297,-0.008619,-0.015825,0.001204,0.001862,0.005752,-0.003489,-0.001058,-0.001664,0.046012,0.050594,0.009435,0.001783,-0.019314,0.002080,-0.005535,0.000629,-0.012850,0.002349,-0.001952,0.005620,0.001225
2025-09-16 01:40 CT,-0.005124,0.003567,0.000847,-0.001443,-0.005076,0.008256,-0.001306,0.028602,-0.001920,-0.001281,0.002714,0.004523,-0.007421,-0.017825,-0.000579,-0.001434,0.000667,-0.026028,-0.000580,-0.030566,-0.003835,0.001617,0.008332,0.069323,0.001743,-0.006870,-0.001130,-0.000407,-0.002638,-0.007637,-0.014115,0.001204,0.001862,0.007285,-0.001269,0.000000,-0.001248,0.052147,0.065655,0.006952,0.002284,-0.018551,0.005548,-0.004854,-0.006923,-0.011497,0.003229,0.000000,0.005011,0.001225
2025-09-16 01:45 CT,-0.005305,0.003148,0.002879,0.000425,-0.004665,0.008235,-0.000770,0.020583,-0.002640,0.000484,0.008141,0.003618,-0.004638,-0.017097,-0.000579,-0.000574,0.002667,-0.023211,0.001393,-0.040639,-0.002983,0.002838,0.008066,0.063745,0.000814,-0.006264,0.002260,0.000815,-0.001319,-0.006982,-0.011548,0.000000,0.001862,0.009586,-0.001269,0.000529,-0.000416,0.050613,0.069156,0.002909,0.002148,-0.020330,0.004854,-0.005024,-0.002517,-0.011497,0.004012,0.000651,0.004777,0.002451
2025-09-16 01:50 CT,-0.005360,0.003211,-0.003049,0.000552,-0.006121,0.007376,-0.001239,0.010158,-0.006480,-0.000142,0.008141,0.005427,-0.004638,-0.014915,-0.001157,0.000717,0.002000,-0.025803,0.001625,-0.043765,-0.002983,0.002380,0.008598,0.080080,0.001046,-0.007746,0.004520,0.001222,-0.001319,-0.006655,-0.011976,0.000000,0.001862,0.010353,-0.002537,0.000529,-0.001664,0.047546,0.077959,0.002057,0.002471,-0.023380,0.002774,-0.004684,-0.015733,-0.011768,0.003816,-0.000651,0.007072,0.002451
2025-09-16 01:55 CT,-0.004614,0.003372,-0.000423,0.001274,-0.006083,0.007811,-0.001172,0.010336,-0.008880,-0.000683,0.007463,0.006784,-0.003711,-0.020371,-0.000868,0.000860,0.002667,-0.020620,0.001741,-0.040986,-0.002983,0.002716,0.009130,0.063347,0.002673,-0.008790,0.005650,0.001834,-0.000330,-0.006328,-0.011548,0.000723,0.001862,0.012653,-0.002854,0.001322,-0.001248,0.047546,0.075944,0.001206,0.003251,-0.022363,0.002774,-0.004726,-0.011328,-0.012309,0.003719,0.001301,0.007025,0.002859
